Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10593704,41.50236504,DB1-33T16,16/09/27-14:10:23,SOYBEANS,17,3.875,352.40,1.000,991.56,10/24/2016,On,35.00,Yes,4.182,13.00,1343.4,22.39,1343.4,22.39,In,-0.0018,0.0034,0.907,0.00,69.00,3,2.642,11.21,1.103,12.36,0.00082,0.049,250.94,0.214,10/24/2016
-85.10593819,41.50237492,DB1-33T16,16/09/27-14:10:23,SOYBEANS,18,3.734,354.40,1.000,991.68,10/24/2016,On,35.00,Yes,3.525,13.00,1174.9,19.58,1174.9,19.58,In,1.290e-009,0.0034,0.874,0.00,74.00,3,2.546,10.80,1.145,12.36,0.00097,0.058,211.47,0.206,10/24/2016
-85.10593903,41.50238359,DB1-33T16,16/09/27-14:10:23,SOYBEANS,19,3.419,355.20,1.000,991.81,10/24/2016,On,35.00,Yes,4.000,13.00,1456.1,24.27,1456.1,24.27,In,3.880e-009,0.0034,0.800,0.00,77.00,3,2.331,9.889,1.250,12.36,0.00086,0.052,239.97,0.189,10/24/2016
-85.10593960,41.50239168,DB1-33T16,16/09/27-14:10:23,SOYBEANS,20,3.110,356.30,1.000,991.95,10/24/2016,On,35.00,Yes,3.463,13.00,1385.6,23.09,1385.6,23.09,In,3.880e-009,0.0037,0.676,0.00,77.00,3,2.121,8.997,1.480,13.31,0.0011,0.064,207.76,0.159,10/24/2016
-85.10594005,41.50239909,DB1-33T16,16/09/27-14:10:23,SOYBEANS,21,2.677,356.60,1.000,992.06,10/24/2016,On,35.00,Yes,2.581,13.00,1199.9,20.00,1199.9,20.00,In,-0.0018,0.0037,0.582,0.00,82.00,3,1.825,7.744,1.719,13.31,0.0014,0.086,154.86,0.137,10/24/2016
-85.10594030,41.50240514,DB1-33T16,16/09/27-14:10:23,SOYBEANS,22,2.877,357.10,1.000,992.28,10/24/2016,On,35.00,Yes,2.780,13.00,1202.6,20.04,1202.6,20.04,In,-0.0018,0.0040,0.583,0.00,78.00,3,1.962,8.323,1.714,14.27,0.0014,0.086,166.82,0.138,10/24/2016
-85.10594057,41.50241566,DB1-33T16,16/09/27-14:10:23,SOYBEANS,23,3.245,357.70,1.000,992.52,10/24/2016,On,35.00,Yes,1.501,13.00,575.81,9.597,575.81,9.597,In,-0.0023,0.0040,0.658,0.00,81.00,3,2.212,9.386,1.520,14.27,0.0026,0.158,90.07,0.155,10/24/2016
-85.10594108,41.50242471,DB1-33T16,16/09/27-14:10:23,SOYBEANS,24,3.386,357.90,1.000,992.63,10/24/2016,On,35.00,Yes,1.149,13.00,422.35,7.039,422.35,7.039,In,0.0018,0.0040,0.687,0.00,81.00,3,2.309,9.794,1.457,14.27,0.0034,0.207,68.94,0.162,10/24/2016
-85.10594108,41.50243173,DB1-33T16,16/09/27-14:10:23,SOYBEANS,25,3.150,358.60,1.000,992.81,10/24/2016,On,35.00,Yes,2.933,13.00,1159.1,19.32,1159.1,19.32,In,-0.0014,0.0040,0.639,0.00,86.00,3,2.147,9.110,1.566,14.27,0.0014,0.081,176.00,0.151,10/24/2016
-85.10594137,41.50244185,DB1-33T16,16/09/27-14:10:23,SOYBEANS,26,3.159,359.10,1.000,992.99,10/24/2016,On,35.00,Yes,1.557,13.00,613.26,10.22,613.26,10.22,In,0.0023,0.0040,0.641,0.00,82.00,3,2.154,9.139,1.561,14.27,0.0025,0.153,93.41,0.151,10/24/2016
-85.10594134,41.50245725,DB1-33T16,16/09/27-14:10:23,SOYBEANS,27,3.146,0.200,1.000,993.23,10/24/2016,On,35.00,Yes,1.135,13.00,448.99,7.483,448.99,7.483,In,-0.0014,0.0040,0.638,0.00,82.00,3,2.145,9.101,1.567,14.27,0.0035,0.209,68.10,0.150,10/24/2016
-85.10594054,41.50248232,DB1-33T16,16/09/27-14:10:23,SOYBEANS,28,3.228,2.200,1.000,993.64,10/24/2016,On,35.00,Yes,0.834,13.00,321.45,5.358,321.45,5.358,In,0.0023,0.0042,0.614,0.00,82.00,3,2.201,9.338,1.629,15.22,0.0051,0.304,50.03,0.145,10/24/2016
-85.10593105,41.50269083,DB1-33T16,16/09/27-14:10:23,SOYBEANS,29,3.743,357.90,1.000,996.38,10/24/2016,On,35.00,Yes,1.103,13.00,366.59,6.110,366.59,6.110,In,0.0014,0.0037,0.813,0.00,69.00,3,2.552,10.83,1.230,13.31,0.0034,0.201,66.16,0.192,10/24/2016
-85.10593175,41.50270098,DB1-33T16,16/09/27-14:10:23,SOYBEANS,30,3.780,357.30,1.000,996.47,10/24/2016,On,35.00,Yes,0.964,13.00,317.31,5.288,317.31,5.288,In,3.880e-009,0.0034,0.884,0.00,67.00,3,2.577,10.93,1.131,12.36,0.0036,0.214,57.82,0.208,10/24/2016
-85.10593251,41.50271124,DB1-33T16,16/09/27-14:10:23,SOYBEANS,31,3.868,356.60,1.000,996.52,10/24/2016,On,35.00,Yes,0.954,13.00,307.06,5.118,307.06,5.118,In,3.880e-009,0.0032,0.980,0.00,65.00,3,2.637,11.19,1.020,11.41,0.0033,0.199,57.26,0.231,10/24/2016
-85.10593352,41.50272157,DB1-33T16,16/09/27-14:10:23,SOYBEANS,32,3.750,355.30,1.000,996.66,10/24/2016,On,35.00,Yes,1.334,13.00,442.86,7.381,442.86,7.381,In,-0.0014,0.0032,0.950,0.00,67.00,3,2.557,10.85,1.052,11.41,0.0024,0.143,80.06,0.224,10/24/2016
