Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.07055232,41.50487586,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,115,4.049,268.40,1.000,1003.8,10/8/2016,On,35.00,Yes,10.43,16.00,3206.0,53.43,3095.4,51.59,In,0.00,0.0040,0.821,0.00,88.00,1,2.760,11.71,1.218,14.27,0.00038,0.023,625.73,0.194,10/8/2016
-85.07056774,41.50487555,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,116,4.560,268.20,1.000,1004.4,10/8/2016,On,35.00,Yes,12.30,16.00,3356.5,55.94,3240.7,54.01,In,-0.0018,0.0042,0.867,0.00,83.00,1,3.109,13.19,1.154,15.22,0.00034,0.021,737.93,0.204,10/8/2016
-85.07058360,41.50487519,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,117,4.288,268.20,1.000,1004.7,10/8/2016,On,35.00,Yes,12.93,16.00,3751.8,62.53,3622.4,60.37,In,-0.0018,0.0042,0.815,0.00,86.00,1,2.924,12.40,1.227,15.22,0.00033,0.020,775.58,0.192,10/8/2016
-85.07059946,41.50487466,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,118,4.275,268.30,1.000,1005.2,10/8/2016,On,35.00,Yes,11.19,16.00,3257.8,54.30,3145.5,52.42,In,0.0018,0.0042,0.813,0.00,83.00,1,2.915,12.37,1.231,15.22,0.00038,0.023,671.41,0.192,10/8/2016
-85.07061564,41.50487426,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,119,4.491,268.00,1.000,1005.6,10/8/2016,On,35.00,Yes,10.14,16.00,2809.6,46.83,2712.7,45.21,In,0.0023,0.0040,0.911,0.00,82.00,1,3.062,12.99,1.098,14.27,0.00039,0.023,608.36,0.215,10/8/2016
-85.07063159,41.50487390,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,120,4.465,267.60,1.000,1006.0,10/8/2016,On,35.00,Yes,9.858,16.00,2747.7,45.79,2652.9,44.22,In,0.00,0.0040,0.905,0.00,83.00,1,3.044,12.92,1.104,14.27,0.00040,0.024,591.48,0.213,10/8/2016
-85.07064709,41.50487326,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,121,4.380,267.70,1.000,1006.4,10/8/2016,On,35.00,Yes,9.748,16.10,2770.1,46.17,2671.4,44.52,In,0.00,0.0042,0.833,0.00,88.00,1,2.986,12.67,1.201,15.22,0.00043,0.026,584.91,0.196,10/8/2016
-85.07066317,41.50487272,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,122,4.462,267.80,1.000,1006.8,10/8/2016,On,35.00,Yes,10.48,16.10,2922.1,48.70,2818.0,46.97,In,-0.0023,0.0042,0.848,0.00,81.00,1,3.042,12.91,1.179,15.22,0.00040,0.024,628.56,0.200,10/8/2016
-85.07066317,41.50487272,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,123,0.233,267.80,0.100,1006.8,10/8/2016,On,35.00,Yes,10.48,16.10,5597.3,93.29,5397.8,89.96,In,-0.0023,0.0042,0.044,0.00,81.00,1,1.588,6.738,22.58,152.16,0.0040,0.242,628.56,0.010,10/8/2016
-85.07067906,41.50487227,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,124,4.252,268.10,1.000,1007.3,10/8/2016,On,35.00,Yes,9.381,16.10,2745.7,45.76,2647.9,44.13,In,-0.0018,0.0042,0.808,0.00,85.00,1,2.899,12.30,1.237,15.22,0.00045,0.027,562.83,0.191,10/8/2016
