Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10012350,41.51005063,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,114,4.364,3.400,1.000,966.86,10/18/2016,On,33.80,Yes,14.55,13.60,4298.9,71.65,4269.3,71.15,In,-0.597,0.0042,0.801,0.00,83.00,2,2.975,12.19,1.248,15.22,0.00029,0.017,873.30,0.196,10/18/2016
-85.10012253,41.51006253,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,115,4.455,3.700,1.000,966.81,10/18/2016,On,33.80,Yes,14.62,13.90,4230.1,70.50,4186.3,69.77,In,-0.597,0.0042,0.818,0.00,83.00,2,3.038,12.45,1.223,15.22,0.00029,0.017,877.40,0.200,10/18/2016
-85.10012134,41.51007446,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,116,4.406,4.000,1.000,966.66,10/18/2016,On,33.80,Yes,15.09,14.30,4412.5,73.54,4346.5,72.44,In,-0.599,0.0042,0.809,0.00,83.00,2,3.004,12.31,1.236,15.22,0.00028,0.017,905.13,0.197,10/18/2016
-85.10012018,41.51008626,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,117,4.364,3.900,1.000,966.69,10/18/2016,On,33.80,Yes,13.30,14.50,3928.4,65.47,3860.7,64.34,In,-0.598,0.0042,0.801,0.00,81.00,2,2.975,12.19,1.248,15.22,0.00032,0.019,798.03,0.196,10/18/2016
-85.10011913,41.51009798,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,118,4.406,3.600,1.000,966.72,10/18/2016,On,33.80,Yes,12.45,13.90,3641.3,60.69,3603.7,60.06,In,-0.597,0.0040,0.863,0.00,81.00,2,3.004,12.31,1.159,14.27,0.00032,0.019,746.94,0.211,10/18/2016
-85.10011826,41.51010918,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,119,4.304,3.100,1.000,966.79,10/18/2016,On,33.80,Yes,11.47,13.70,3433.4,57.22,3405.7,56.76,In,-0.598,0.0040,0.843,0.00,81.00,2,2.935,12.02,1.186,14.27,0.00035,0.021,688.03,0.206,10/18/2016
-85.10011751,41.51012014,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,120,4.288,2.500,1.000,966.82,10/18/2016,On,33.80,Yes,11.89,14.10,3572.9,59.55,3527.7,58.80,In,-0.597,0.0040,0.840,0.00,81.00,2,2.924,11.98,1.191,14.27,0.00033,0.020,713.26,0.205,10/18/2016
-85.10011703,41.51013161,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,121,4.216,1.800,1.000,966.87,10/18/2016,On,33.80,Yes,11.51,14.30,3518.0,58.63,3465.5,57.76,In,-0.598,0.0040,0.826,0.00,78.00,2,2.874,11.78,1.211,14.27,0.00034,0.021,690.49,0.202,10/18/2016
-85.10011664,41.51014308,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,122,4.314,1.200,1.000,966.92,10/18/2016,On,33.80,Yes,10.32,14.50,3083.5,51.39,3030.3,50.51,In,-0.596,0.0037,0.905,0.00,74.00,2,2.942,12.05,1.105,13.31,0.00036,0.021,619.33,0.221,10/18/2016
-85.10011652,41.51015488,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,123,4.180,360.00,1.000,966.83,10/18/2016,On,33.80,Yes,11.13,14.50,3430.4,57.17,3371.3,56.19,In,-0.597,0.0037,0.877,0.00,74.00,2,2.850,11.68,1.140,13.31,0.00033,0.020,667.53,0.214,10/18/2016
-85.10011686,41.51016647,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,124,4.331,358.00,1.000,966.84,10/18/2016,On,33.80,Yes,12.04,15.50,3584.2,59.74,3481.2,58.02,In,-0.598,0.0037,0.909,0.00,79.00,2,2.953,12.10,1.101,13.31,0.00031,0.018,722.64,0.222,10/18/2016
-85.10011773,41.51017867,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,125,4.295,355.40,1.000,966.82,10/18/2016,On,33.80,Yes,10.48,16.30,3144.8,52.41,3025.5,50.42,In,-0.597,0.0037,0.901,0.00,77.00,2,2.928,12.00,1.110,13.31,0.00035,0.021,628.75,0.220,10/18/2016
-85.10011957,41.51019046,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,126,4.295,352.90,1.000,966.67,10/18/2016,On,33.80,Yes,10.13,15.30,3039.9,50.66,2959.5,49.33,In,-0.598,0.0037,0.901,0.00,76.00,2,2.928,12.00,1.110,13.31,0.00037,0.022,607.78,0.220,10/18/2016
-85.10012204,41.51020216,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,127,4.377,349.90,1.000,966.60,10/18/2016,On,33.80,Yes,9.752,14.30,2871.8,47.86,2828.9,47.15,In,-0.597,0.0037,0.918,0.00,77.00,2,2.984,12.23,1.089,13.31,0.00038,0.023,585.14,0.224,10/18/2016
-85.10012549,41.51021345,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,128,4.386,346.30,1.000,966.64,10/18/2016,On,33.80,Yes,8.889,14.70,2611.7,43.53,2560.6,42.68,In,-0.598,0.0037,0.920,0.00,77.00,2,2.991,12.25,1.087,13.31,0.00042,0.025,533.34,0.225,10/18/2016
-85.10012988,41.51022500,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,129,4.606,342.70,1.000,966.55,10/18/2016,On,33.80,Yes,7.705,14.80,2155.8,35.93,2111.2,35.19,In,-0.596,0.0037,0.966,0.00,74.00,2,3.141,12.87,1.035,13.31,0.00048,0.029,462.31,0.236,10/18/2016
-85.10013594,41.51023677,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,130,4.669,338.90,1.000,966.55,10/18/2016,On,33.80,Yes,7.720,15.00,2131.1,35.52,2082.1,34.70,In,-0.598,0.0037,0.979,0.00,74.00,2,3.183,13.04,1.021,13.31,0.00048,0.029,463.20,0.239,10/18/2016
-85.10014241,41.51024772,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,131,4.475,335.10,1.000,966.60,10/18/2016,On,33.80,Yes,7.802,15.00,2246.8,37.45,2195.2,36.59,In,-0.598,0.0034,1.011,0.00,72.00,2,3.051,12.50,0.989,12.36,0.00044,0.026,468.10,0.247,10/18/2016
-85.10015006,41.51025857,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,132,4.537,331.40,1.000,966.48,10/18/2016,On,33.80,Yes,7.764,15.00,2205.2,36.75,2154.5,35.91,In,-0.597,0.0034,1.025,0.00,70.00,2,3.094,12.67,0.975,12.36,0.00044,0.027,465.83,0.250,10/18/2016
-85.10015853,41.51026881,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,133,4.455,327.50,1.000,966.50,10/18/2016,On,33.80,Yes,7.490,15.10,2166.5,36.11,2114.2,35.24,In,-0.597,0.0034,1.007,0.00,73.00,2,3.038,12.45,0.993,12.36,0.00046,0.028,449.39,0.246,10/18/2016
-85.10016804,41.51027887,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,134,4.534,324.10,1.000,966.47,10/18/2016,On,33.80,Yes,6.851,14.70,1947.4,32.46,1909.3,31.82,In,-0.597,0.0034,1.024,0.00,72.00,2,3.091,12.67,0.976,12.36,0.00050,0.030,411.07,0.250,10/18/2016
-85.10017820,41.51028836,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,135,4.541,320.50,1.000,966.37,10/18/2016,On,33.80,Yes,6.868,13.90,1949.4,32.49,1929.3,32.15,In,-0.599,0.0034,1.026,0.00,70.00,2,3.096,12.68,0.975,12.36,0.00050,0.030,412.09,0.250,10/18/2016
-85.10018908,41.51029721,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,136,4.570,316.60,1.000,966.41,10/18/2016,On,33.80,Yes,7.080,14.30,1996.5,33.27,1966.6,32.78,In,-0.599,0.0032,1.119,0.00,65.00,2,3.116,12.77,0.894,11.41,0.00045,0.027,424.78,0.273,10/18/2016
-85.10020099,41.51030559,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,137,4.501,312.60,1.000,966.29,10/18/2016,On,33.80,Yes,7.403,14.40,2119.5,35.33,2085.4,34.76,In,-0.597,0.0032,1.102,0.00,67.00,2,3.069,12.57,0.908,11.41,0.00043,0.026,444.17,0.269,10/18/2016
-85.10021365,41.51031325,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,138,4.442,309.30,1.000,966.33,10/18/2016,On,33.80,Yes,7.497,14.50,2175.0,36.25,2137.5,35.63,In,-0.597,0.0032,1.087,0.00,68.00,2,3.029,12.41,0.920,11.41,0.00042,0.025,449.81,0.265,10/18/2016
-85.10022641,41.51032026,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,139,4.537,306.30,1.000,966.43,10/18/2016,On,33.80,Yes,7.796,14.60,2214.3,36.90,2173.5,36.23,In,-0.596,0.0032,1.111,0.00,72.00,2,3.094,12.67,0.900,11.41,0.00041,0.024,467.74,0.271,10/18/2016
-85.10024061,41.51032783,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,140,4.724,306.60,1.000,966.33,10/18/2016,On,33.80,Yes,8.211,14.70,2239.9,37.33,2196.2,36.60,In,-0.597,0.0034,1.067,0.00,69.00,2,3.221,13.20,0.937,12.36,0.00042,0.025,492.66,0.261,10/18/2016
-85.10025492,41.51033556,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,141,4.728,306.70,1.000,966.23,10/18/2016,On,33.80,Yes,8.094,14.80,2206.4,36.77,2160.8,36.01,In,-0.596,0.0034,1.068,0.00,70.00,2,3.223,13.21,0.936,12.36,0.00042,0.025,485.63,0.261,10/18/2016
-85.10026878,41.51034307,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,142,4.646,306.90,1.000,966.15,10/18/2016,On,33.80,Yes,8.701,14.90,2413.8,40.23,2361.1,39.35,In,-0.597,0.0034,1.050,0.00,76.00,2,3.168,12.98,0.953,12.36,0.00039,0.024,522.07,0.256,10/18/2016
