Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08721003,41.52062652,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,17,4.803,82.20,1.000,992.02,10/19/2016,On,20.00,Yes,27.61,18.90,12520,223.57,12016,214.58,In,-0.0018,0.0032,0.696,0.00,68.00,1,3.275,7.939,1.437,11.41,0.00011,0.0064,1775.0,0.287,10/19/2016
-85.08719260,41.52062811,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,18,4.843,83.50,1.000,992.05,10/19/2016,On,20.00,Yes,27.38,20.90,12314,219.89,11527,205.84,In,-0.0018,0.0034,0.647,0.00,69.00,1,3.302,8.004,1.545,12.36,0.00013,0.0070,1760.1,0.267,10/19/2016
-85.08717506,41.52062928,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,19,4.764,85.00,1.000,992.17,10/19/2016,On,20.00,Yes,29.16,21.40,13332,238.07,12401,221.44,In,-0.0018,0.0032,0.690,0.00,67.00,1,3.248,7.874,1.449,11.41,0.00011,0.0061,1874.5,0.285,10/19/2016
-85.08715533,41.52063025,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,20,5.554,86.40,1.000,992.22,10/19/2016,On,20.00,Yes,26.99,21.50,10585,189.02,9833.4,175.60,In,-0.00046,0.0034,0.743,0.00,73.00,1,3.787,9.181,1.347,12.36,0.00013,0.0071,1735.3,0.306,10/19/2016
-85.08713572,41.52063102,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,21,5.482,86.80,1.000,992.33,10/19/2016,On,20.00,Yes,25.67,21.50,10199,182.12,9474.6,169.19,In,-0.0018,0.0034,0.733,0.00,70.00,1,3.738,9.062,1.364,12.36,0.00013,0.0075,1650.3,0.302,10/19/2016
-85.08711589,41.52063161,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,22,5.476,87.90,1.000,992.43,10/19/2016,On,20.00,Yes,25.26,20.80,10046,179.38,9415.5,168.13,In,2.590e-009,0.0034,0.732,0.00,69.00,1,3.733,9.051,1.366,12.36,0.00014,0.0076,1623.6,0.302,10/19/2016
-85.08709628,41.52063202,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,23,5.387,88.60,1.000,992.52,10/19/2016,On,20.00,Yes,26.31,19.10,10635,189.91,10182,181.82,In,-4.127e-015,0.0034,0.720,0.00,67.00,1,3.673,8.904,1.388,12.36,0.00013,0.0073,1691.1,0.297,10/19/2016
-85.08707670,41.52063227,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,24,5.505,89.00,1.000,992.60,10/19/2016,On,20.00,Yes,26.39,19.30,10441,186.44,9971.2,178.06,In,-0.0041,0.0032,0.797,0.00,69.00,1,3.754,9.100,1.254,11.41,0.00012,0.0067,1696.5,0.329,10/19/2016
-85.08705794,41.52063236,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,25,5.276,90.00,1.000,992.70,10/19/2016,On,20.00,Yes,24.88,19.60,10271,183.41,9772.8,174.51,In,-4.127e-015,0.0032,0.764,0.00,67.00,1,3.597,8.720,1.309,11.41,0.00013,0.0071,1599.4,0.315,10/19/2016
-85.08703883,41.52063230,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,26,5.322,90.40,1.000,992.86,10/19/2016,On,20.00,Yes,24.53,19.90,10039,179.26,9516.1,169.93,In,-0.00046,0.0034,0.711,0.00,70.00,1,3.628,8.796,1.406,12.36,0.00014,0.0078,1576.8,0.293,10/19/2016
