Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10158972,41.51203809,WELLS,16/07/05-16:41:11,CORN,18,2.070,349.90,1.000,963.74,7/5/2016,On,33.80,Yes,5.569,15.50,3467.2,61.91,3467.2,61.91,In,-0.00062,0.0034,0.468,0.00,70.00,1,1.412,5.783,2.138,12.36,0.00062,0.035,358.04,0.114,7/5/2016
-85.10159077,41.51204225,WELLS,16/07/05-16:41:11,CORN,19,1.775,349.40,1.000,963.72,7/5/2016,On,33.80,Yes,5.031,15.50,3653.4,65.24,3653.4,65.24,In,-0.00065,0.0037,0.372,0.00,81.00,1,1.210,4.958,2.685,13.31,0.00074,0.041,323.45,0.091,7/5/2016
-85.10159260,41.51204872,WELLS,16/07/05-16:41:11,CORN,20,2.073,347.90,1.000,964.00,7/5/2016,On,33.80,Yes,4.558,15.50,2832.9,50.59,2832.9,50.59,In,-5.566e-005,0.0037,0.435,0.00,69.00,1,1.414,5.792,2.299,13.31,0.00081,0.045,293.00,0.106,7/5/2016
-85.10159260,41.51204872,WELLS,16/07/05-16:41:11,CORN,21,0.108,347.90,0.100,964.00,7/5/2016,On,33.80,Yes,4.558,15.50,5425.4,96.88,5425.4,96.88,In,-5.566e-005,0.0037,0.023,0.00,69.00,1,0.738,3.024,44.02,133.14,0.0081,0.454,293.00,0.0055,7/5/2016
-85.10159390,41.51205301,WELLS,16/07/05-16:41:11,CORN,22,1.982,347.00,0.900,964.06,7/5/2016,On,33.80,Yes,5.385,15.50,3151.9,56.28,3151.9,56.28,In,0.00021,0.0034,0.448,0.00,74.00,1,1.501,6.150,2.234,13.74,0.00071,0.040,346.16,0.109,7/5/2016
-85.10159616,41.51205975,WELLS,16/07/05-16:41:11,CORN,23,2.047,345.10,1.000,964.25,7/5/2016,On,33.80,Yes,6.300,15.50,3966.1,70.82,3966.1,70.82,In,-0.00024,0.0034,0.463,0.00,74.00,1,1.396,5.719,2.162,12.36,0.00055,0.031,405.01,0.113,7/5/2016
-85.10159817,41.51206514,WELLS,16/07/05-16:41:11,CORN,24,2.500,343.20,1.000,964.29,7/5/2016,On,33.80,Yes,6.188,15.50,3189.9,56.96,3189.9,56.96,In,-0.00050,0.0034,0.565,0.00,74.00,1,1.705,6.983,1.770,12.36,0.00056,0.031,397.78,0.138,7/5/2016
-85.10160146,41.51207267,WELLS,16/07/05-16:41:11,CORN,25,2.418,340.70,1.000,964.47,7/5/2016,On,33.80,Yes,5.553,15.50,2960.0,52.86,2960.0,52.86,In,-0.00036,0.0034,0.546,0.00,73.00,1,1.649,6.754,1.830,12.36,0.00062,0.035,357.00,0.133,7/5/2016
-85.10160401,41.51207825,WELLS,16/07/05-16:41:11,CORN,26,2.490,339.60,1.000,964.53,7/5/2016,On,33.80,Yes,5.152,15.50,2666.4,47.61,2666.4,47.61,In,0.00016,0.0034,0.563,0.00,72.00,1,1.698,6.956,1.777,12.36,0.00067,0.037,331.20,0.137,7/5/2016
-85.10160824,41.51208620,WELLS,16/07/05-16:41:11,CORN,27,2.589,339.20,1.000,964.72,7/5/2016,On,33.80,Yes,5.899,15.50,2936.8,52.44,2936.8,52.44,In,0.00018,0.0034,0.585,0.00,72.00,1,1.765,7.231,1.710,12.36,0.00058,0.033,379.20,0.143,7/5/2016
