lat,lon,speed,ts,data
40.7246,-102.1891,0.024,1499184165,0
40.7246,-102.1891,0.022,1499184166,0
40.7246,-102.1891,0.083,1499184167,0
40.7246,-102.1891,0.064,1499184168,0
40.7246,-102.1891,0.018,1499184169,0
40.7246,-102.1891,0.03,1499184170,0
40.7246,-102.1891,0.049,1499184171,0
40.7246,-102.1891,0.021,1499184172,0
40.7246,-102.1891,0.024,1499184173,0
40.7246,-102.1891,0.04,1499184174,0
40.7246,-102.1891,0.017,1499184175,0
40.7246,-102.1891,0.017,1499184176,0
40.7246,-102.1891,0.022,1499184177,0
40.7246,-102.1891,0.015,1499184178,0
40.7246,-102.1891,0.032,1499184179,0
40.7246,-102.1891,0.04,1499184180,0
40.7246,-102.1891,0.034,1499184181,0
40.7246,-102.1891,0.013,1499184182,0
40.7246,-102.1891,0.01,1499184183,0
40.7246,-102.1891,0.019,1499184184,0
40.7246,-102.1891,0.073,1499184185,0
40.7246,-102.1891,0.027,1499184186,0
40.7246,-102.1891,0.024,1499184187,0
40.7246,-102.1891,0.022,1499184188,0
40.7246,-102.1891,0.015,1499184189,0
40.7246,-102.1891,0.027,1499184190,0
40.7246,-102.1891,0.031,1499184191,0
40.7246,-102.1891,0.01,1499184192,0
40.7246,-102.1891,0.022,1499184193,NaN
40.7246,-102.1891,0.013,1499184194,0
40.7246,-102.1891,0.043,1499184195,0
40.7246,-102.1891,0.03,1499184196,0
40.7246,-102.1891,0.028,1499184197,0
40.7246,-102.1891,0.013,1499184198,0
40.7246,-102.1891,0.035,1499184199,0
40.7246,-102.1891,0.027,1499184200,0
40.7246,-102.1891,0.016,1499184201,0
40.7246,-102.1891,0.01,1499184202,0
40.7246,-102.1891,0.017,1499184203,0
40.7246,-102.1891,0.034,1499184204,0
40.7246,-102.1891,0.019,1499184205,0
40.7246,-102.1891,0.01,1499184206,0
40.7246,-102.1891,0.035,1499184207,0
40.7246,-102.1891,0.042,1499184208,0
40.7246,-102.1891,0.041,1499184209,0
40.7246,-102.1891,0.017,1499184210,0
40.7246,-102.1891,0.035,1499184211,0
40.7246,-102.1891,0.008,1499184212,0
40.7246,-102.1891,0.024,1499184213,0
40.7246,-102.1891,0.011,1499184214,0
40.7246,-102.1891,0.037,1499184215,0
40.7246,-102.1891,0.031,1499184216,0
40.7246,-102.1891,0.054,1499184217,0
40.7246,-102.1891,0.022,1499184218,0
40.7246,-102.1891,0.019,1499184219,0
40.7246,-102.1891,0.01,1499184220,0
40.7246,-102.1892,0.022,1499184221,0
40.7246,-102.1892,0.002,1499184222,0
40.7246,-102.1892,0.028,1499184223,0
40.7246,-102.1892,0.022,1499184224,0
40.7246,-102.1892,0.057,1499184225,0
40.7246,-102.1892,0.007,1499184226,0
40.7246,-102.1892,0.042,1499184227,0
40.7246,-102.1892,0.006,1499184228,0
40.7246,-102.1892,0.017,1499184229,0
40.7246,-102.1892,0.023,1499184230,0
40.7246,-102.1892,0.024,1499184231,0
40.7246,-102.1892,0.031,1499184232,0
40.7246,-102.1892,0.015,1499184233,0
40.7246,-102.1892,0.012,1499184234,0
40.7246,-102.1892,0.002,1499184235,0
40.7246,-102.1892,0,1499184236,0
40.7246,-102.1892,0.032,1499184237,0
40.7246,-102.1892,0.054,1499184238,0
40.7246,-102.1892,0.013,1499184239,0
40.7246,-102.1892,0.007,1499184240,0
40.7246,-102.1892,0.022,1499184241,0
40.7246,-102.1892,0.017,1499184242,0
40.7246,-102.1892,0.056,1499184243,0
40.7246,-102.1892,0.02,1499184244,0
40.7246,-102.1892,0.014,1499184245,0
40.7246,-102.1892,0.021,1499184246,0
40.7246,-102.1892,0.024,1499184247,0
40.7246,-102.1892,0.019,1499184248,0
40.7246,-102.1892,0.013,1499184249,0
40.7246,-102.1892,0.013,1499184250,0
40.7246,-102.1892,0.015,1499184251,0
40.7246,-102.1892,0.009,1499184252,0
40.7246,-102.1892,0.031,1499184253,0
40.7246,-102.1892,0.026,1499184254,0
40.7246,-102.1892,0.012,1499184255,0
40.7246,-102.1892,0.002,1499184256,0
40.7246,-102.1892,0.02,1499184257,0
40.7246,-102.1892,0.007,1499184258,0
40.7246,-102.1892,0.041,1499184259,0
40.7246,-102.1892,0.008,1499184260,0
40.7246,-102.1892,0.035,1499184261,0
40.7246,-102.1892,0.037,1499184262,0
40.7246,-102.1892,0.028,1499184263,0
40.7246,-102.1892,0.024,1499184264,0
40.7246,-102.1892,0.041,1499184265,0
40.7246,-102.1892,0.015,1499184266,0
40.7246,-102.1892,0.048,1499184267,0
40.7246,-102.1892,0.008,1499184268,0
40.7246,-102.1892,0.03,1499184269,0
40.7246,-102.1892,0.026,1499184270,0
40.7246,-102.1892,0.007,1499184271,0
40.7246,-102.1892,0.013,1499184272,0
40.7246,-102.1892,0.021,1499184273,0
40.7246,-102.1892,0.017,1499184274,0
40.7246,-102.1892,0.03,1499184275,0
40.7246,-102.1892,0.022,1499184276,0
40.7246,-102.1892,0.021,1499184277,0
40.7246,-102.1892,0.019,1499184278,0
40.7246,-102.1892,0.019,1499184279,0
40.7246,-102.1892,0.018,1499184280,0
40.7246,-102.1892,0.009,1499184281,0
40.7246,-102.1892,0.012,1499184282,0
40.7246,-102.1892,0.013,1499184283,0
40.7246,-102.1892,0.013,1499184284,0
40.7246,-102.1892,0.011,1499184285,0
40.7246,-102.1892,0.022,1499184286,0
40.7246,-102.1892,0.021,1499184287,0
40.7246,-102.1892,0.034,1499184288,0
40.7246,-102.1892,0.008,1499184289,0
40.7246,-102.1892,0.013,1499184290,0
40.7246,-102.1892,0.029,1499184291,0
40.7246,-102.1892,0.018,1499184292,0
40.7246,-102.1892,0.037,1499184293,0
40.7246,-102.1892,0.051,1499184294,0
40.7246,-102.1892,0.019,1499184295,0
40.7246,-102.1892,0.02,1499184296,0
40.7246,-102.1892,0.01,1499184297,0
40.7246,-102.1892,0.037,1499184298,0
40.7246,-102.1892,0.037,1499184299,0
40.7246,-102.1892,0.007,1499184300,0
40.7246,-102.1892,0.007,1499184301,0
40.7246,-102.1892,0.013,1499184302,0
40.7246,-102.1892,0.014,1499184303,0
40.7246,-102.1892,0.008,1499184304,0
40.7246,-102.1891,0.029,1499184305,0
40.7246,-102.1891,0.015,1499184306,0
40.7246,-102.1891,0.03,1499184307,0
40.7246,-102.1891,0.008,1499184308,0
40.7246,-102.1891,0.013,1499184309,0
40.7246,-102.1891,0.013,1499184310,0
40.7246,-102.1891,0.01,1499184311,0
40.7246,-102.1891,0.009,1499184312,0
40.7246,-102.1891,0.009,1499184313,0
40.7246,-102.1891,0.027,1499184314,0
40.7246,-102.1891,0.005,1499184315,0
40.7246,-102.1891,0.01,1499184316,0
40.7246,-102.1891,0.019,1499184317,0
40.7246,-102.1891,0.019,1499184318,0
40.7246,-102.1891,0.014,1499184319,0
40.7246,-102.1891,0.013,1499184320,0
40.7246,-102.1891,0.02,1499184321,0
40.7246,-102.1891,0.02,1499184322,0
40.7246,-102.1891,0.011,1499184323,0
40.7246,-102.1891,0.008,1499184324,0
40.7246,-102.1891,0.021,1499184325,0
40.7246,-102.1892,0.027,1499184326,0
40.7246,-102.1892,0.013,1499184327,0
40.7246,-102.1892,0.02,1499184328,0
40.7246,-102.1892,0.007,1499184329,0
40.7246,-102.1892,0.033,1499184330,0
40.7246,-102.1892,0.041,1499184331,0
40.7246,-102.1892,0.019,1499184332,0
40.7246,-102.1892,0.01,1499184333,0
40.7246,-102.1892,0.013,1499184334,0
40.7246,-102.1892,0.032,1499184335,0
40.7246,-102.1892,0.026,1499184336,0
40.7246,-102.1892,0.028,1499184337,0
40.7246,-102.1892,0.021,1499184338,0
40.7246,-102.1892,0.015,1499184339,NaN
40.7246,-102.1892,0.015,1499184340,NaN
40.7246,-102.1891,0.012,1499184376,0
40.7246,-102.1891,0.017,1499184376,0
40.7246,-102.1891,0.033,1499184377,0
40.7246,-102.1891,0.008,1499184378,0
40.7246,-102.1891,0.019,1499184379,0
40.7246,-102.1891,0.021,1499184380,0
40.7246,-102.1891,0.016,1499184381,0
40.7246,-102.1891,0.021,1499184382,0
40.7246,-102.1891,0.008,1499184383,0
40.7246,-102.1891,0.023,1499184384,0
40.7246,-102.1891,0.017,1499184385,0
40.7246,-102.1891,0.007,1499184386,0
40.7246,-102.1891,0.021,1499184387,0
40.7246,-102.1891,0.013,1499184388,0
40.7246,-102.1891,0.073,1499184389,0
40.7246,-102.1891,0.022,1499184390,0
40.7246,-102.1891,0.043,1499184391,0
40.7246,-102.1891,0.056,1499184392,0
40.7246,-102.1891,0.028,1499184393,0
40.7246,-102.1891,0.007,1499184394,0
40.7246,-102.1891,0.036,1499184395,0
40.7246,-102.1891,0.048,1499184396,0
40.7246,-102.1891,0.028,1499184397,0
40.7246,-102.1891,0.007,1499184398,0
40.7246,-102.1891,0.046,1499184399,0
40.7246,-102.1891,0.079,1499184400,0
40.7246,-102.1891,0.07,1499184401,0
40.7246,-102.1891,0.055,1499184402,0
40.7246,-102.1891,0.045,1499184403,0
40.7246,-102.1891,0.058,1499184404,0
40.7246,-102.1891,0.033,1499184405,0
40.7246,-102.1891,0.044,1499184406,0
40.7246,-102.1891,0.048,1499184407,0
40.7246,-102.1891,0.008,1499184408,0
40.7246,-102.1891,0.015,1499184409,0
40.7246,-102.1891,0.013,1499184410,0
40.7246,-102.1891,0.053,1499184411,0
40.7246,-102.1891,0.006,1499184412,0
40.7246,-102.1891,0.013,1499184413,0
40.7246,-102.1891,0.007,1499184414,0
40.7246,-102.1891,0.013,1499184415,0
40.7246,-102.1891,0.034,1499184416,0
40.7246,-102.1891,0.04,1499184417,0
40.7246,-102.1891,0.028,1499184418,0
40.7246,-102.1891,0.025,1499184419,0
40.7246,-102.1891,0.008,1499184420,0
40.7246,-102.1891,0.061,1499184421,0
40.7246,-102.1891,0.046,1499184422,0
40.7246,-102.1891,0.087,1499184423,0
40.7246,-102.1891,0.051,1499184424,0
40.7246,-102.1891,0.02,1499184425,0
40.7246,-102.1891,0.011,1499184426,0
40.7246,-102.1891,0.042,1499184427,0
40.7246,-102.1891,0.035,1499184428,0
40.7246,-102.1891,0.01,1499184429,0
40.7246,-102.1891,0.008,1499184430,0
40.7246,-102.1892,0.042,1499184431,0
40.7246,-102.1892,0.024,1499184432,0
40.7246,-102.1892,0.033,1499184433,0
40.7246,-102.1892,0.033,1499184434,0
40.7246,-102.1892,0.024,1499184435,0
40.7246,-102.1892,0.063,1499184436,0
40.7246,-102.1892,0.048,1499184437,0
40.7246,-102.1892,0.046,1499184438,0
40.7246,-102.1892,0.024,1499184439,0
40.7246,-102.1892,0.028,1499184440,0
40.7246,-102.1892,0.025,1499184441,0
40.7246,-102.1892,0.018,1499184442,0
40.7246,-102.1892,0.009,1499184443,0
40.7246,-102.1892,0.002,1499184444,0
40.7246,-102.1892,0.013,1499184445,0
40.7246,-102.1892,0.03,1499184446,0
40.7246,-102.1892,0.026,1499184447,0
40.7246,-102.1892,0.02,1499184448,0
40.7246,-102.1892,0.012,1499184449,NaN
40.7246,-102.1892,0.017,1499184450,0
40.7246,-102.1892,0.007,1499184451,0
40.7246,-102.1892,0.014,1499184452,0
40.7246,-102.1892,0.02,1499184453,0
40.7246,-102.1892,0.021,1499184454,0
40.7246,-102.1892,0.013,1499184455,0
40.7246,-102.1892,0.029,1499184456,0
40.7246,-102.1892,0.043,1499184457,0
40.7246,-102.1892,0.008,1499184458,0
40.7246,-102.1892,0.011,1499184459,0
40.7246,-102.1892,0.013,1499184460,0
40.7246,-102.1892,0.017,1499184461,0
40.7246,-102.1892,0.017,1499184462,0
40.7246,-102.1892,0.011,1499184463,0
40.7246,-102.1892,0.046,1499184464,0
40.7246,-102.1892,0.01,1499184465,0
40.7246,-102.1892,0.021,1499184466,0
40.7246,-102.1892,0.011,1499184467,0
40.7246,-102.1892,0.012,1499184468,0
40.7246,-102.1892,0.035,1499184469,0
40.7246,-102.1891,0.03,1499184470,0
40.7246,-102.1891,0.02,1499184471,0
40.7246,-102.1891,0.003,1499184472,0
40.7246,-102.1891,0.02,1499184473,0
