Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18035238,40.97474608,AULT,HOME,GRAHAM17,,On,-459.67,11.36,10/8/2015,Yes,816.21,54.78,54.78,12.10,3.423,30.00,3286.5,3286.5,Grain Harvest,2010385416,SOYBEANS
-86.18037145,40.97474495,AULT,HOME,GRAHAM17,,On,-459.67,9.399,10/8/2015,Yes,816.45,44.96,44.96,12.30,3.449,30.00,2697.6,2697.6,Grain Harvest,2010385416,SOYBEANS
-86.18038970,40.97474458,AULT,HOME,GRAHAM17,,On,-459.67,6.870,10/8/2015,Yes,816.59,34.61,34.61,11.50,3.275,30.00,2076.7,2076.7,Grain Harvest,2010385416,SOYBEANS
-86.18040633,40.97474509,AULT,HOME,GRAHAM17,,On,-459.67,11.41,10/8/2015,Yes,817.00,60.64,60.64,11.50,3.105,30.00,3638.5,3638.5,Grain Harvest,2010385416,SOYBEANS
-86.18042445,40.97474657,AULT,HOME,GRAHAM17,,On,-459.67,6.899,10/8/2015,Yes,817.10,36.77,36.77,11.80,3.096,30.00,2206.2,2206.2,Grain Harvest,2010385416,SOYBEANS
-86.18044201,40.97474741,AULT,HOME,GRAHAM17,,On,-459.67,5.639,10/8/2015,Yes,817.29,29.71,29.71,11.90,3.132,30.00,1782.7,1782.7,Grain Harvest,2010385416,SOYBEANS
-86.18045965,40.97474828,AULT,HOME,GRAHAM17,,On,-459.67,9.702,10/8/2015,Yes,817.42,51.52,51.52,11.90,3.107,30.00,3091.5,3091.5,Grain Harvest,2010385416,SOYBEANS
-86.18047770,40.97474819,AULT,HOME,GRAHAM17,,On,-459.67,11.99,10/8/2015,Yes,817.64,62.50,62.50,11.90,3.165,30.00,3750.1,3750.1,Grain Harvest,2010385416,SOYBEANS
-86.18049636,40.97474796,AULT,HOME,GRAHAM17,,On,-459.67,8.633,10/8/2015,Yes,817.68,43.38,43.38,11.50,3.284,30.00,2602.7,2602.7,Grain Harvest,2010385416,SOYBEANS
-86.18051401,40.97474754,AULT,HOME,GRAHAM17,,On,-459.67,5.977,10/8/2015,Yes,817.88,31.49,31.49,11.50,3.132,30.00,1889.4,1889.4,Grain Harvest,2010385416,SOYBEANS
-86.18052239,40.97474724,AULT,HOME,GRAHAM17,,On,-459.67,3.827,10/8/2015,Yes,818.19,33.45,33.45,11.70,1.888,30.00,2007.0,2007.0,Grain Harvest,2010385416,SOYBEANS
-86.18051600,40.97473985,AULT,HOME,GRAHAM17,,On,-459.67,1.425,10/8/2015,Yes,818.94,139.85,139.85,13.00,1.944,2.595,8391.0,8391.0,Grain Harvest,2010385416,SOYBEANS
-86.18054544,40.97474007,AULT,HOME,GRAHAM17,,On,-459.67,11.42,10/8/2015,Yes,819.27,72.54,72.54,13.00,2.597,30.00,4352.3,4352.3,Grain Harvest,2010385416,SOYBEANS
-86.18056002,40.97474085,AULT,HOME,GRAHAM17,,On,-459.67,10.86,10/8/2015,Yes,819.43,68.83,68.83,13.00,2.604,30.00,4129.9,4129.9,Grain Harvest,2010385416,SOYBEANS
-86.18057454,40.97474200,AULT,HOME,GRAHAM17,,On,-459.67,7.352,10/8/2015,Yes,819.61,45.80,45.80,13.00,2.649,30.00,2748.0,2748.0,Grain Harvest,2010385416,SOYBEANS
-86.18058945,40.97474337,AULT,HOME,GRAHAM17,,On,-459.67,10.24,10/8/2015,Yes,819.91,64.44,64.44,13.00,2.622,30.00,3866.6,3866.6,Grain Harvest,2010385416,SOYBEANS
-86.18060393,40.97474490,AULT,HOME,GRAHAM17,,On,-459.67,11.50,10/8/2015,Yes,819.90,72.60,72.60,13.00,2.613,30.00,4355.9,4355.9,Grain Harvest,2010385416,SOYBEANS
-86.18061720,40.97474627,AULT,HOME,GRAHAM17,,On,-459.67,8.712,10/8/2015,Yes,819.98,59.95,59.95,13.00,2.398,30.00,3596.8,3596.8,Grain Harvest,2010385416,SOYBEANS
-86.18063071,40.97474738,AULT,HOME,GRAHAM17,,On,-459.67,6.960,10/8/2015,Yes,819.98,47.19,47.19,13.00,2.434,30.00,2831.3,2831.3,Grain Harvest,2010385416,SOYBEANS
-86.18064382,40.97474825,AULT,HOME,GRAHAM17,,On,-459.67,8.644,10/8/2015,Yes,820.06,59.42,59.42,13.00,2.400,30.00,3565.3,3565.3,Grain Harvest,2010385416,SOYBEANS
-86.18065766,40.97474864,AULT,HOME,GRAHAM17,,On,-459.67,10.96,10/8/2015,Yes,820.00,73.27,73.27,13.00,2.467,30.00,4395.9,4395.9,Grain Harvest,2010385416,SOYBEANS
-86.18067129,40.97474870,AULT,HOME,GRAHAM17,,On,-459.67,9.893,10/8/2015,Yes,820.12,68.01,68.01,13.00,2.400,30.00,4080.6,4080.6,Grain Harvest,2010385416,SOYBEANS
-86.18068510,40.97474873,AULT,HOME,GRAHAM17,,On,-459.67,10.04,10/8/2015,Yes,820.29,67.38,67.38,13.00,2.458,30.00,4043.1,4043.1,Grain Harvest,2010385416,SOYBEANS
-86.18069861,40.97474851,AULT,HOME,GRAHAM17,,On,-459.67,7.883,10/8/2015,Yes,820.45,53.39,53.39,13.00,2.436,30.00,3203.7,3203.7,Grain Harvest,2010385416,SOYBEANS
-86.18071240,40.97474738,AULT,HOME,GRAHAM17,,On,-459.67,7.781,10/8/2015,Yes,820.48,51.29,51.29,13.00,2.503,30.00,3077.4,3077.4,Grain Harvest,2010385416,SOYBEANS
-86.18072615,40.97474561,AULT,HOME,GRAHAM17,,On,-459.67,8.640,10/8/2015,Yes,820.61,56.65,56.65,13.00,2.517,30.00,3398.9,3398.9,Grain Harvest,2010385416,SOYBEANS
-86.18074125,40.97474292,AULT,HOME,GRAHAM17,,On,-459.67,10.48,10/8/2015,Yes,820.93,63.86,63.86,13.00,2.707,30.00,3831.5,3831.5,Grain Harvest,2010385416,SOYBEANS
-86.18075626,40.97473949,AULT,HOME,GRAHAM17,,On,-459.67,10.10,10/8/2015,Yes,821.09,58.85,58.85,5.600,2.832,30.00,3531.2,3531.2,Grain Harvest,2010385416,SOYBEANS
-86.18077141,40.97473585,AULT,HOME,GRAHAM17,,On,-459.67,7.510,10/8/2015,Yes,821.09,44.35,44.35,6.500,2.794,30.00,2660.9,2660.9,Grain Harvest,2010385416,SOYBEANS
-86.18078658,40.97473253,AULT,HOME,GRAHAM17,,On,-459.67,7.870,10/8/2015,Yes,821.20,46.51,46.51,7.400,2.792,30.00,2790.7,2790.7,Grain Harvest,2010385416,SOYBEANS
-86.18080193,40.97473033,AULT,HOME,GRAHAM17,,On,-459.67,9.979,10/8/2015,Yes,821.27,59.45,59.45,8.600,2.769,30.00,3567.2,3567.2,Grain Harvest,2010385416,SOYBEANS
-86.18081760,40.97472910,AULT,HOME,GRAHAM17,,On,-459.67,11.08,10/8/2015,Yes,821.43,64.64,64.64,9.800,2.827,30.00,3878.5,3878.5,Grain Harvest,2010385416,SOYBEANS
-86.18083310,40.97472889,AULT,HOME,GRAHAM17,,On,-459.67,11.17,10/8/2015,Yes,821.51,65.81,65.81,10.80,2.801,30.00,3948.6,3948.6,Grain Harvest,2010385416,SOYBEANS
-86.18084917,40.97472959,AULT,HOME,GRAHAM17,,On,-459.67,9.048,10/8/2015,Yes,821.44,53.30,53.30,11.40,2.801,30.00,3198.3,3198.3,Grain Harvest,2010385416,SOYBEANS
-86.18086479,40.97473167,AULT,HOME,GRAHAM17,,On,-459.67,5.861,10/8/2015,Yes,821.51,34.20,34.20,11.70,2.827,30.00,2052.2,2052.2,Grain Harvest,2010385416,SOYBEANS
-86.18088057,40.97473488,AULT,HOME,GRAHAM17,,On,-459.67,5.715,10/8/2015,Yes,821.55,33.43,33.43,11.80,2.821,30.00,2005.7,2005.7,Grain Harvest,2010385416,SOYBEANS
