lat,lon,speed,ts,data
40.72680646,-102.1853884,1.481,1499199733,0.14695431321
40.726808374,-102.18537092,1.59,1499199734,0.13810255721
40.726810485,-102.18535334,1.641,1499199735,0.14964585357
40.726812508,-102.18533439,1.707,1499199736,0.13522147174
40.726814922,-102.18531498,1.757,1499199737,0.12595271653
40.726818316,-102.18529733,1.619,1499199738,0.14695431321
40.726821864,-102.18527796,1.728,1499199739,0.14062350699
40.726826027,-102.18525945,1.647,1499199740,0.15394852726
40.726829387,-102.18524016,1.69,1499199741,0.13969473602
40.726832405,-102.18522384,1.24,1499199742,0.13827314779
40.726835684,-102.18520603,1.45,1499199743,0.15040403396
40.726839271,-102.18518896,1.557,1499199744,0.13759078545
40.726842759,-102.185168,1.656,1499199745,0.13766660349
40.726846706,-102.18514885,1.644,1499199746,0.14820531084
40.726851915,-102.18512892,1.66,1499199747,0.13851955642
40.726856867,-102.18510897,1.664,1499199748,0.16734936557
40.726860186,-102.18508875,1.688,1499199749,0.15715183939
40.726864278,-102.18506806,1.713,1499199750,0.12957302787
40.726867983,-102.18504859,1.63,1499199751,0.12257881382
40.7268715,-102.18502935,1.632,1499199752,0.123924584
40.726875766,-102.18500958,1.686,1499199753,0.11929968365
40.726880816,-102.18498974,1.698,1499199754,0.14155227796
40.726886034,-102.18497049,1.621,1499199755,0.13658619644
40.726890748,-102.18495123,1.594,1499199756,0.13194234158
40.726896616,-102.1849328,1.612,1499199757,0.15006285279
40.726903769,-102.18491473,1.632,1499199758,0.1628761013
40.726910886,-102.18489692,1.636,1499199759,0.15597665979
40.726917975,-102.18487858,1.732,1499199760,0.13615024271
40.726924711,-102.18486035,1.713,1499199761,0.1439974097
40.726931189,-102.18484211,1.681,1499199762,0.16196628484
40.726937447,-102.18482416,1.674,1499199763,0.16043096956
40.726944066,-102.18480532,1.749,1499199764,0.15125698689
40.72695049,-102.18478687,1.69,1499199765,0.15842179154
40.726957131,-102.18476863,1.728,1499199766,0.15622306842
40.726963324,-102.18475244,1.507,1499199767,0.14551377047
40.726969557,-102.18473538,1.584,1499199768,0.15597665979
40.72697597,-102.18471823,1.6,1499199769,0.16043096956
40.726982514,-102.18470083,1.647,1499199770,0.17072326829
40.726989059,-102.18468301,1.682,1499199771,0.17764166431
40.726995726,-102.18466573,1.648,1499199772,0.16516959697
40.72700258,-102.18464798,1.683,1499199773,0.18016261409
40.727009179,-102.18463103,1.644,1499199774,0.17830507214
40.72701495,-102.18461462,1.654,1499199775,0.16372905423
40.727022051,-102.18459819,1.638,1499199776,0.17578412236
40.72702922,-102.18458143,1.655,1499199777,0.16001397035
40.727036365,-102.1845648,1.649,1499199778,0.17275140082
40.72704375,-102.18454868,1.625,1499199779,0.15935056251
40.727051015,-102.18453278,1.641,1499199780,0.17519653256
40.727058576,-102.18451579,1.722,1499199781,0.18319533563
40.72706585,-102.18449935,1.681,1499199782,0.19272945398
40.72707324,-102.18448389,1.653,1499199783,0.19837789785
40.727080367,-102.18447001,1.629,1499199784,0.1876685999
40.727087045,-102.18445445,1.671,1499199785,0.19830207981
40.727093605,-102.18443874,1.668,1499199786,0.20487929465
