Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.20653378,40.98737502,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.53,10/15/2015,Yes,792.45,66.15,66.15,13.00,2.680,35.00,3968.9,3968.9,Grain Harvest,203748,SOYBEANS
-86.20651883,40.98737529,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.78,10/15/2015,Yes,792.11,78.72,78.72,13.00,2.116,35.00,4723.5,4723.5,Grain Harvest,203748,SOYBEANS
-86.20650386,40.98737553,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.78,10/15/2015,Yes,791.66,74.86,74.86,13.00,2.604,35.00,4491.4,4491.4,Grain Harvest,203748,SOYBEANS
-86.20649139,40.98737572,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.90,10/15/2015,Yes,791.28,96.55,96.55,13.00,1.743,35.00,5792.8,5792.8,Grain Harvest,203748,SOYBEANS
-86.20648186,40.98737583,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.41,10/15/2015,Yes,790.88,109.64,109.64,13.00,1.859,35.00,6578.3,6578.3,Grain Harvest,203748,SOYBEANS
-86.20647807,40.98737581,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.42,10/15/2015,Yes,790.78,136.71,136.71,13.00,1.181,35.00,8202.7,8202.7,Grain Harvest,203748,SOYBEANS
-86.20647807,40.98737581,AULT,SCHALE,EAST MUCK19,,On,-459.67,8.367,10/15/2015,Yes,790.78,126.55,126.55,13.00,0.935,35.00,7592.9,7592.9,Grain Harvest,203748,SOYBEANS
-86.20648176,40.98737565,AULT,SCHALE,EAST MUCK19,,On,-459.67,5.601,10/15/2015,Yes,791.03,28.42,28.42,5.500,2.787,35.00,1705.3,1705.3,Grain Harvest,203748,SOYBEANS
-86.20649033,40.98737549,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.764,10/15/2015,Yes,791.33,67.54,67.54,5.800,0.998,35.00,4052.1,4052.1,Grain Harvest,203748,SOYBEANS
-86.20650129,40.98737507,AULT,SCHALE,EAST MUCK19,,On,-459.67,5.709,10/15/2015,Yes,791.66,56.39,56.39,6.100,1.432,35.00,3383.6,3383.6,Grain Harvest,203748,SOYBEANS
-86.20655205,40.98733964,AULT,SCHALE,EAST MUCK19,,On,-459.67,1.161,10/15/2015,Yes,790.34,59.57,59.57,7.500,1.058,9.117,3574.0,3574.0,Grain Harvest,203748,SOYBEANS
-86.20654443,40.98733373,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.468,10/15/2015,Yes,790.14,112.88,112.88,7.800,1.810,10.83,6772.7,6772.7,Grain Harvest,203748,SOYBEANS
-86.20653800,40.98732726,AULT,SCHALE,EAST MUCK19,,On,-459.67,5.982,10/15/2015,Yes,789.90,120.17,120.17,8.000,1.796,13.72,7210.2,7210.2,Grain Harvest,203748,SOYBEANS
-86.20653234,40.98732021,AULT,SCHALE,EAST MUCK19,,On,-459.67,6.798,10/15/2015,Yes,789.80,163.33,163.33,8.300,1.239,16.62,9799.7,9799.7,Grain Harvest,203748,SOYBEANS
-86.20652739,40.98731321,AULT,SCHALE,EAST MUCK19,,On,-459.67,6.270,10/15/2015,Yes,789.70,49.18,49.18,8.700,1.803,35.00,2950.8,2950.8,Grain Harvest,203748,SOYBEANS
-86.20652358,40.98730621,AULT,SCHALE,EAST MUCK19,,On,-459.67,9.254,10/15/2015,Yes,789.58,53.97,53.97,9.000,2.425,35.00,3238.4,3238.4,Grain Harvest,203748,SOYBEANS
-86.20652074,40.98729910,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.23,10/15/2015,Yes,789.49,116.52,116.52,9.500,1.241,35.00,6990.9,6990.9,Grain Harvest,203748,SOYBEANS
-86.20651800,40.98729073,AULT,SCHALE,EAST MUCK19,,On,-459.67,8.684,10/15/2015,Yes,789.36,68.12,68.12,10.00,1.803,35.00,4087.2,4087.2,Grain Harvest,203748,SOYBEANS
-86.20651583,40.98728287,AULT,SCHALE,EAST MUCK19,,On,-459.67,8.030,10/15/2015,Yes,789.23,57.18,57.18,10.40,1.986,35.00,3430.6,3430.6,Grain Harvest,203748,SOYBEANS
-86.20651306,40.98727381,AULT,SCHALE,EAST MUCK19,,On,-459.67,9.184,10/15/2015,Yes,789.12,67.20,67.20,10.80,1.933,35.00,4032.3,4032.3,Grain Harvest,203748,SOYBEANS
-86.20650952,40.98726598,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.08,10/15/2015,Yes,789.17,126.50,126.50,11.30,1.239,35.00,7590.3,7590.3,Grain Harvest,203748,SOYBEANS
-86.20650532,40.98725849,AULT,SCHALE,EAST MUCK19,,On,-459.67,8.379,10/15/2015,Yes,789.34,56.12,56.12,11.70,2.112,35.00,3367.3,3367.3,Grain Harvest,203748,SOYBEANS
-86.20650032,40.98725076,AULT,SCHALE,EAST MUCK19,,On,-459.67,8.894,10/15/2015,Yes,789.43,61.25,61.25,12.00,2.054,35.00,3675.3,3675.3,Grain Harvest,203748,SOYBEANS
-86.20649447,40.98724327,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.13,10/15/2015,Yes,789.45,72.11,72.11,12.20,1.986,35.00,4326.6,4326.6,Grain Harvest,203748,SOYBEANS
-86.20648742,40.98723545,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.84,10/15/2015,Yes,789.32,161.76,161.76,12.30,1.123,35.00,9705.9,9705.9,Grain Harvest,203748,SOYBEANS
-86.20647938,40.98722792,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.67,10/15/2015,Yes,789.27,83.00,83.00,12.40,1.989,35.00,4980.1,4980.1,Grain Harvest,203748,SOYBEANS
-86.20647073,40.98722084,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.04,10/15/2015,Yes,789.10,85.08,85.08,12.40,2.168,35.00,5104.8,5104.8,Grain Harvest,203748,SOYBEANS
-86.20646158,40.98721506,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.41,10/15/2015,Yes,789.17,35.85,35.85,12.40,4.894,35.00,2151.1,2151.1,Grain Harvest,203748,SOYBEANS
-86.20645108,40.98720977,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.11,10/15/2015,Yes,789.13,85.96,85.96,11.80,1.993,35.00,5157.4,5157.4,Grain Harvest,203748,SOYBEANS
-86.20644015,40.98720549,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.97,10/15/2015,Yes,789.28,66.11,66.11,11.70,2.989,35.00,3966.7,3966.7,Grain Harvest,203748,SOYBEANS
-86.20642778,40.98720087,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.02,10/15/2015,Yes,789.29,72.32,72.32,11.80,2.351,35.00,4339.3,4339.3,Grain Harvest,203748,SOYBEANS
-86.20641509,40.98719672,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.64,10/15/2015,Yes,789.50,125.27,125.27,11.90,1.427,35.00,7516.2,7516.2,Grain Harvest,203748,SOYBEANS
-86.20640236,40.98719319,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.62,10/15/2015,Yes,789.71,68.98,68.98,11.90,2.177,35.00,4138.6,4138.6,Grain Harvest,203748,SOYBEANS
-86.20638877,40.98718966,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.54,10/15/2015,Yes,789.89,78.77,78.77,11.60,2.611,35.00,4726.2,4726.2,Grain Harvest,203748,SOYBEANS
-86.20637460,40.98718650,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.07,10/15/2015,Yes,789.96,82.41,82.41,11.50,2.244,35.00,4944.4,4944.4,Grain Harvest,203748,SOYBEANS
-86.20635985,40.98718345,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.89,10/15/2015,Yes,790.06,81.51,81.51,11.70,2.237,35.00,4890.4,4890.4,Grain Harvest,203748,SOYBEANS
-86.20634521,40.98718091,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.22,10/15/2015,Yes,790.06,76.77,76.77,11.70,2.436,35.00,4606.0,4606.0,Grain Harvest,203748,SOYBEANS
-86.20632982,40.98717813,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.08,10/15/2015,Yes,790.20,86.94,86.94,11.70,2.291,35.00,5216.4,5216.4,Grain Harvest,203748,SOYBEANS
-86.20631443,40.98717603,AULT,SCHALE,EAST MUCK19,,On,-459.67,15.04,10/15/2015,Yes,790.37,76.12,76.12,11.60,2.794,35.00,4567.4,4567.4,Grain Harvest,203748,SOYBEANS
-86.20629899,40.98717430,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.14,10/15/2015,Yes,790.76,72.98,72.98,11.70,2.546,35.00,4378.6,4378.6,Grain Harvest,203748,SOYBEANS
-86.20628359,40.98717350,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.62,10/15/2015,Yes,790.76,72.11,72.11,11.80,2.671,35.00,4326.9,4326.9,Grain Harvest,203748,SOYBEANS
-86.20626814,40.98717376,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.90,10/15/2015,Yes,790.94,63.80,63.80,11.90,2.416,35.00,3827.8,3827.8,Grain Harvest,203748,SOYBEANS
-86.20625245,40.98717473,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.54,10/15/2015,Yes,791.17,74.85,74.85,11.80,2.747,35.00,4491.1,4491.1,Grain Harvest,203748,SOYBEANS
-86.20623692,40.98717601,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.08,10/15/2015,Yes,791.55,99.51,99.51,11.70,1.859,35.00,5970.4,5970.4,Grain Harvest,203748,SOYBEANS
-86.20622136,40.98717749,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.03,10/15/2015,Yes,791.83,72.06,72.06,11.80,2.557,35.00,4323.6,4323.6,Grain Harvest,203748,SOYBEANS
-86.20620587,40.98717919,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.90,10/15/2015,Yes,792.04,122.26,122.26,11.90,1.608,35.00,7335.6,7335.6,Grain Harvest,203748,SOYBEANS
-86.20619037,40.98718040,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.60,10/15/2015,Yes,792.20,70.32,70.32,11.90,2.736,35.00,4219.0,4219.0,Grain Harvest,203748,SOYBEANS
-86.20617438,40.98718143,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.68,10/15/2015,Yes,792.40,75.88,75.88,11.70,2.550,35.00,4552.9,4552.9,Grain Harvest,203748,SOYBEANS
-86.20615866,40.98718240,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.73,10/15/2015,Yes,792.31,65.07,65.07,11.90,2.550,35.00,3904.1,3904.1,Grain Harvest,203748,SOYBEANS
-86.20614294,40.98718302,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.98,10/15/2015,Yes,792.50,72.26,72.26,12.10,2.736,35.00,4335.4,4335.4,Grain Harvest,203748,SOYBEANS
-86.20612703,40.98718350,AULT,SCHALE,EAST MUCK19,,On,-459.67,9.103,10/15/2015,Yes,792.54,42.51,42.51,12.10,3.029,35.00,2550.5,2550.5,Grain Harvest,203748,SOYBEANS
-86.20611126,40.98718378,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.25,10/15/2015,Yes,792.53,61.79,61.79,12.00,2.803,35.00,3707.7,3707.7,Grain Harvest,203748,SOYBEANS
-86.20609519,40.98718407,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.77,10/15/2015,Yes,792.48,79.28,79.28,11.90,1.922,35.00,4756.9,4756.9,Grain Harvest,203748,SOYBEANS
-86.20607952,40.98718449,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.39,10/15/2015,Yes,792.28,56.14,56.14,12.10,2.870,35.00,3368.5,3368.5,Grain Harvest,203748,SOYBEANS
-86.20606403,40.98718490,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.22,10/15/2015,Yes,792.37,83.34,83.34,12.10,1.734,35.00,5000.7,5000.7,Grain Harvest,203748,SOYBEANS
-86.20604759,40.98718515,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.95,10/15/2015,Yes,792.12,89.08,89.08,12.20,1.738,35.00,5344.9,5344.9,Grain Harvest,203748,SOYBEANS
-86.20603146,40.98718522,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.24,10/15/2015,Yes,792.15,88.69,88.69,12.00,2.270,35.00,5321.7,5321.7,Grain Harvest,203748,SOYBEANS
-86.20601504,40.98718567,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.18,10/15/2015,Yes,791.85,45.94,45.94,12.10,3.440,35.00,2756.5,2756.5,Grain Harvest,203748,SOYBEANS
-86.20599850,40.98718648,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.72,10/15/2015,Yes,791.84,70.06,70.06,12.20,2.971,35.00,4203.8,4203.8,Grain Harvest,203748,SOYBEANS
-86.20598181,40.98718782,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.95,10/15/2015,Yes,791.67,65.35,65.35,12.20,2.803,35.00,3921.2,3921.2,Grain Harvest,203748,SOYBEANS
-86.20596543,40.98718955,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.03,10/15/2015,Yes,791.62,99.80,99.80,12.00,1.989,35.00,5987.9,5987.9,Grain Harvest,203748,SOYBEANS
-86.20594850,40.98719103,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.67,10/15/2015,Yes,791.71,82.43,82.43,12.00,2.174,35.00,4945.7,4945.7,Grain Harvest,203748,SOYBEANS
-86.20593212,40.98719233,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.51,10/15/2015,Yes,791.75,79.03,79.03,12.30,2.418,35.00,4741.5,4741.5,Grain Harvest,203748,SOYBEANS
-86.20591556,40.98719335,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.93,10/15/2015,Yes,791.98,59.79,59.79,12.30,3.058,35.00,3587.1,3587.1,Grain Harvest,203748,SOYBEANS
-86.20589918,40.98719466,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.95,10/15/2015,Yes,791.72,65.75,65.75,12.30,2.785,35.00,3945.2,3945.2,Grain Harvest,203748,SOYBEANS
-86.20588312,40.98719608,AULT,SCHALE,EAST MUCK19,,On,-459.67,14.08,10/15/2015,Yes,791.54,82.22,82.22,12.10,2.423,35.00,4933.2,4933.2,Grain Harvest,203748,SOYBEANS
-86.20586697,40.98719733,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.15,10/15/2015,Yes,791.39,80.98,80.98,12.30,2.123,35.00,4858.7,4858.7,Grain Harvest,203748,SOYBEANS
-86.20585070,40.98719898,AULT,SCHALE,EAST MUCK19,,On,-459.67,13.01,10/15/2015,Yes,791.14,78.14,78.14,12.40,2.355,35.00,4688.2,4688.2,Grain Harvest,203748,SOYBEANS
-86.20583450,40.98720127,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.54,10/15/2015,Yes,790.90,55.92,55.92,12.50,2.666,35.00,3355.2,3355.2,Grain Harvest,203748,SOYBEANS
-86.20580159,40.98720616,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.13,10/15/2015,Yes,790.88,58.47,58.47,12.30,2.935,35.00,3508.1,3508.1,Grain Harvest,203748,SOYBEANS
-86.20578504,40.98720779,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.18,10/15/2015,Yes,791.65,59.61,59.61,12.40,2.653,35.00,3576.5,3576.5,Grain Harvest,203748,SOYBEANS
-86.20576925,40.98720965,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.57,10/15/2015,Yes,791.78,55.74,55.74,12.40,2.682,35.00,3344.5,3344.5,Grain Harvest,203748,SOYBEANS
-86.20575298,40.98721182,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.25,10/15/2015,Yes,791.85,62.33,62.33,12.30,2.552,35.00,3739.9,3739.9,Grain Harvest,203748,SOYBEANS
-86.20573685,40.98721406,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.75,10/15/2015,Yes,791.85,90.79,90.79,12.10,1.986,35.00,5447.3,5447.3,Grain Harvest,203748,SOYBEANS
-86.20572095,40.98721602,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.01,10/15/2015,Yes,791.93,52.00,52.00,12.30,2.722,35.00,3120.0,3120.0,Grain Harvest,203748,SOYBEANS
-86.20570468,40.98721797,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.86,10/15/2015,Yes,791.94,60.26,60.26,12.40,2.548,35.00,3615.8,3615.8,Grain Harvest,203748,SOYBEANS
-86.20568861,40.98722019,AULT,SCHALE,EAST MUCK19,,On,-459.67,9.869,10/15/2015,Yes,791.99,63.93,63.93,12.40,2.183,35.00,3835.9,3835.9,Grain Harvest,203748,SOYBEANS
-86.20567244,40.98722275,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.03,10/15/2015,Yes,792.04,57.04,57.04,12.10,2.982,35.00,3422.5,3422.5,Grain Harvest,203748,SOYBEANS
-86.20565702,40.98722618,AULT,SCHALE,EAST MUCK19,,On,-459.67,10.88,10/15/2015,Yes,791.67,51.80,51.80,12.10,2.971,35.00,3108.0,3108.0,Grain Harvest,203748,SOYBEANS
-86.20564122,40.98723017,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.49,10/15/2015,Yes,791.32,52.20,52.20,12.30,3.114,35.00,3131.7,3131.7,Grain Harvest,203748,SOYBEANS
-86.20562575,40.98723442,AULT,SCHALE,EAST MUCK19,,On,-459.67,9.023,10/15/2015,Yes,791.05,50.08,50.08,12.40,2.548,35.00,3005.1,3005.1,Grain Harvest,203748,SOYBEANS
-86.20561055,40.98723908,AULT,SCHALE,EAST MUCK19,,On,-459.67,11.00,10/15/2015,Yes,790.80,52.25,52.25,12.40,2.977,35.00,3135.0,3135.0,Grain Harvest,203748,SOYBEANS
-86.20559558,40.98724514,AULT,SCHALE,EAST MUCK19,,On,-459.67,12.69,10/15/2015,Yes,790.29,60.21,60.21,12.50,2.982,35.00,3612.5,3612.5,Grain Harvest,203748,SOYBEANS
